POSTCODE,POSTAL_COMMERCIAL_PROPERTIES,ALL_COMMERCIAL,RESIDENTIAL_PROPERTIES
NE70 7LY,0,0,13
NE65 8JT,0,0,11
NE70 7DA,0,0,8
NE65 0XW,0,0,20
NE65 0SZ,0,0,4
NE65 9NW,0,0,28
NE66 3BG,0,0,9
NE65 7QW,0,0,14
NE71 6EL,0,0,5
NE65 8JS,0,0,37
NE70 7LQ,0,0,4
NE61 6FR,0,0,0
NE61 3AJ,0,1,21
NE61 5TR,1,1,1
NE47 6JU,0,0,3
NE26 4QW,0,0,4
NE47 8JU,0,0,1
NE65 0JG,0,0,18
NE65 9HD,0,0,6
NE65 9DA,0,0,10
NE65 0LP,0,0,6
NE65 0JH,0,0,30
NE65 7SW,0,0,2
NE65 0PT,0,0,9
NE65 9PW,1,1,10
TD15 2JA,0,0,55
NE65 9DD,0,0,1
NE43 7TX,0,1,5
NE65 0FF,1,1,0
NE67 5EZ,1,2,1
NE68 7UH,0,0,7
NE61 4PQ,0,0,1
NE68 7BA,2,2,8
NE68 7RS,0,0,4
NE65 0QT,0,0,5
NE61 4EA,2,2,5
NE70 7PW,0,0,2
NE67 5DX,1,1,5
NE71 6ST,0,0,8
NE65 8PS,0,0,4
NE61 5NN,0,0,21
NE68 7XN,2,2,3
NE61 5XS,0,0,32
NE61 5LE,0,0,2
TD12 4RS,0,0,5
NE65 9SJ,0,0,32
NE61 5LN,0,0,53
NE61 5QZ,0,0,26
TD15 1AY,0,0,0
NE61 5RE,0,0,9
NE61 5EY,0,0,43
NE61 5RH,0,0,18
NE71 6BE,0,0,17
NE68 7YE,0,0,4
NE66 2BE,0,0,1
NE61 5PR,0,0,14
NE61 5PS,0,0,13
NE61 5DJ,0,0,7
NE61 5ET,0,0,27
NE61 5DA,0,0,72
NE65 9YD,0,0,43
NE61 5RF,0,0,10
NE65 9YA,0,0,31
NE61 5XJ,0,0,36
NE61 3TW,0,1,5
NE61 4AJ,0,0,1
NE65 9RH,0,0,32
NE61 4RF,0,0,3
NE61 5BH,0,0,1
NE61 4AW,1,1,2
NE65 8JW,0,0,1
NE61 3DN,0,0,4
NE61 3SA,0,0,3
NE61 5XZ,0,0,13
NE61 5XF,0,0,9
NE61 5HG,0,0,9
NE61 3EH,0,0,1
NE61 5NW,0,0,19
NE61 5EZ,0,0,26
NE20 9BJ,0,0,34
NE61 3AQ,0,0,2
NE61 5SL,0,0,12
NE61 5QB,0,0,3
NE65 9TY,0,0,11
NE65 9YL,0,0,6
NE61 5PH,0,0,9
NE71 6HF,0,0,2
NE61 5HZ,0,0,12
NE65 9TX,0,0,1
NE65 9UG,0,0,1
NE61 3TS,0,0,2
NE20 9XL,0,0,41
NE48 3BL,1,1,2
NE18 0BP,0,0,1
NE20 9LS,0,0,28
NE61 6PP,0,0,6
NE46 3HX,0,0,29
NE61 6EQ,0,0,5
NE61 5LR,0,0,30
NE45 5BP,0,0,52
NE20 9HZ,0,0,16
NE61 5LH,0,0,12
NE20 9XH,0,0,8
NE61 5JW,0,0,7
NE46 2QB,0,0,15
NE61 3TL,0,0,1
NE18 0AX,0,0,3
NE65 9US,0,0,4
NE61 5HQ,0,0,14
NE61 6EX,0,0,1
NE47 6LW,0,0,19
NE48 4AU,0,0,9
NE43 7NX,0,0,19
NE43 7PE,0,0,1
NE43 7PU,0,0,15
NE43 7QA,0,0,7
CA8 7LH,0,0,4
DH8 9TB,0,0,20
NE48 1AR,0,0,12
NE49 9ER,0,0,9
NE44 6JE,0,0,3
NE46 1AG,0,0,6
NE47 6AP,0,0,5
NE47 0BD,0,0,7
NE47 6EX,0,0,21
NE42 5FQ,0,0,10
NE43 7DY,0,0,2
NE42 5BF,0,0,6
NE45 5LJ,0,0,16
NE48 3HD,0,0,1
NE42 5QW,0,0,19
NE47 9JJ,1,1,1
NE44 6BU,0,0,3
NE19 2PW,0,0,1
NE43 7AU,0,0,12
NE48 3DQ,0,0,3
NE48 3BP,0,0,1
NE46 4EZ,0,0,6
NE48 1LY,0,0,4
NE47 8HP,0,0,1
NE48 3BB,0,0,1
NE48 3HT,0,0,1
NE48 1AW,1,1,4
NE46 4QE,0,0,15
NE48 4AW,0,0,2
NE47 8JW,0,1,1
NE49 0DR,0,0,9
NE48 4DF,0,0,2
NE47 6LU,0,0,8
NE47 9HY,0,0,2
NE49 0EG,0,0,1
NE45 5NR,0,0,5
NE46 2LN,0,0,1
NE42 6PY,0,0,14
NE47 9PW,0,0,10
NE49 9BQ,0,0,15
NE46 1LB,0,0,4
NE46 1LE,0,0,12
NE46 2AL,0,0,44
NE46 2BX,0,0,42
NE48 2RZ,0,0,4
NE46 2BJ,0,0,15
NE46 2AB,0,0,36
NE46 1DG,0,0,38
NE46 1JB,0,0,22
NE48 4AB,1,1,4
NE46 2BH,0,0,1
NE46 1LD,0,0,6
NE46 3DX,0,0,35
NE46 4RG,0,0,36
NE47 5AF,0,0,35
NE46 1DE,0,0,9
NE46 3PH,0,0,3
NE62 5PS,0,0,2
NE46 4QU,0,0,17
NE46 2DZ,0,0,5
NE46 2HX,0,0,7
NE46 2BA,0,0,9
NE46 4QY,0,0,4
NE49 9DB,0,0,6
NE46 3HT,0,0,12
NE48 1HL,0,0,4
NE46 4PP,0,0,4
NE46 4QL,0,0,10
NE46 1NR,0,0,5
NE47 5NF,0,0,1
NE42 6QJ,0,0,24
NE47 9BZ,0,0,11
NE46 4QX,0,0,4
NE46 1JN,0,0,2
NE49 9DG,0,0,4
NE46 1EJ,0,0,3
NE46 1LG,0,0,3
NE45 5HR,0,0,10
NE49 0NA,0,0,2
NE46 4QB,0,0,5
NE45 5BB,0,0,2
NE46 3LA,0,0,15
NE48 4AF,0,0,3
NE19 2HU,0,0,1
NE47 8LU,0,0,1
NE46 2HT,0,0,17
NE43 7ND,0,0,9
NE43 7DX,0,0,1
NE46 2AJ,0,0,38
NE42 5ER,0,0,49
NE42 6QD,0,0,29
NE42 5QA,0,0,21
NE42 6JQ,0,0,6
NE42 5EE,0,0,20
NE43 7HA,0,0,4
NE42 6PW,0,0,24
NE41 8ET,0,0,1
NE46 2BE,0,0,22
NE46 2HY,0,0,15
NE41 8EZ,0,0,38
NE41 8HT,0,0,16
NE46 2LT,0,0,8
NE46 4HY,0,0,2
NE47 9UY,0,0,5
NE42 6LJ,0,0,12
NE49 9JX,0,0,10
NE42 6PD,0,0,23
NE42 5QN,0,0,17
NE43 7AF,0,0,4
NE47 5AH,0,0,6
NE46 1EG,0,0,18
NE45 5DP,0,0,3
NE42 6DX,0,0,28
NE49 9PD,0,0,7
NE42 6RJ,0,0,15
NE42 5BG,0,0,3
NE47 5DS,0,0,6
NE48 1AT,0,0,10
NE42 6JW,0,0,10
NE49 0AT,0,0,1
NE49 0HQ,2,2,2
NE42 6DZ,0,0,12
NE46 2HW,0,0,9
NE46 2NF,0,0,3
NE49 9EH,0,0,3
NE48 2AF,0,0,4
NE41 8DS,0,0,17
NE46 1UH,0,0,1
NE49 0PR,0,0,2
NE46 4LQ,0,0,5
DH8 9TA,0,0,5
NE47 9AR,0,0,4
NE49 0PP,0,0,1
NE46 1TR,0,0,1
NE46 3JU,0,0,2
NE46 4QR,0,0,6
NE41 8DU,0,0,9
NE48 3AD,0,0,2
NE43 7EQ,0,0,8
NE23 8AY,0,0,1
NE43 7JN,0,0,6
NE46 2DR,0,0,1
NE44 6BL,0,0,2
NE42 6LR,0,0,12
NE46 1RJ,0,0,3
NE47 9UU,0,0,2
NE42 6BH,0,0,2
NE48 3JD,0,0,1
NE65 8EJ,0,0,1
NE49 9EF,0,0,10
NE49 0BT,0,0,1
NE46 1SQ,0,0,4
NE15 0HU,0,0,4
NE48 3JH,0,0,2
NE47 9BY,0,0,1
NE47 9AE,0,0,2
NE47 0LB,0,0,1
NE48 4DH,0,0,2
NE65 7BW,1,1,1
NE61 3HY,0,0,4
NE65 9YJ,0,0,10
NE61 6NA,0,0,4
NE65 8PT,0,0,2
NE61 6HG,0,0,2
NE61 5ED,0,0,2
NE61 6BB,0,0,4
NE61 6EN,0,0,2
NE61 5AZ,0,0,6
NE61 5BA,0,0,3
NE26 4RN,0,0,3
NE43 7NS,0,0,3
NE62 5RD,0,0,2
NE46 3BQ,0,0,1
NE67 5HN,0,0,5
NE65 9JE,0,0,1
NE46 1DT,0,0,2
NE65 7XQ,0,1,4
NE24 4PA,0,0,1
NE19 1LN,0,0,13
DH8 9SU,0,0,3
NE47 9EG,0,0,2
NE71 6QU,0,0,3
CA8 7NF,0,0,2
TD15 1AW,0,0,2
NE20 0DB,1,1,1
NE48 1EU,0,0,1
NE63 8XR,0,0,9
TD15 2QQ,0,0,3
NE47 7BR,0,0,14
NE65 7BZ,0,0,1
CA8 7LF,0,0,1
NE18 0QL,0,0,1
NE48 1AH,0,0,2
NE25 0SG,1,1,1
NE20 0HQ,0,0,1
NE24 4GD,0,0,10
TD12 4TX,0,0,2
NE25 0QB,1,1,0
NE24 4SS,0,0,11
NE24 4JS,0,0,0
NE42 5PL,0,0,20
NE61 4PX,0,0,0
NE24 1QQ,5,5,0
NE61 3XP,0,0,1
NE61 5RU,0,0,2
TD12 4NT,1,1,0
NE25 0PU,0,0,12
NE64 4DP,0,0,0
NE15 0PE,0,0,0
TD15 2NH,0,0,0
NE61 1PD,0,0,0
NE24 4BS,0,0,0
NE23 9QH,0,0,0
NE42 6DP,0,0,0
NE23 9WE,0,0,0
NE66 3QE,0,0,0
NE63 8NR,0,0,33
NE63 0AP,5,5,28
NE46 4JT,0,0,3
NE23 6RF,16,16,3
NE24 4GS,0,0,63
NE61 1AT,11,11,10
NE25 0RS,0,0,10
NE22 7AD,8,8,7
NE64 6JT,0,0,3
NE22 6AU,0,0,12
NE23 1DN,12,12,3
NE25 0AE,0,0,24
NE46 1RB,0,0,28
NE49 9NE,0,0,3
NE46 1EU,3,3,0
NE66 4TA,1,1,30
NE48 2EZ,1,1,2
NE63 9YB,0,0,6
NE49 9HP,1,1,9
NE49 9HB,0,0,12
NE24 2DZ,1,1,0
NE42 6DS,0,0,9
NE61 3AA,2,4,11
NE46 1SZ,13,13,9
TD15 2LG,1,2,26
NE48 3JE,0,0,5
NE26 4RF,0,0,17
NE24 3AZ,0,0,1
NE24 2QH,3,3,24
NE24 1JW,0,0,13
NE18 0QP,0,1,10
NE46 1XL,14,18,1
NE46 2HH,0,0,18
NE47 5DA,0,0,1
NE43 7LU,2,2,34
NE66 2EB,1,1,6
NE63 0SP,4,4,29
NE61 3NG,0,0,3
NE22 6ED,1,1,23
NE26 4DN,1,1,66
NE66 3BZ,1,1,34
TD15 2UJ,1,1,12
TD15 2PX,3,4,8
NE22 5QA,0,0,17
NE48 2DU,2,2,7
TD15 2JY,2,2,14
NE22 5EQ,0,0,14
NE47 9LP,0,1,9
NE22 6NN,0,0,26
NE47 0DQ,0,0,3
NE61 6TJ,0,0,13
NE61 2DJ,0,0,56
NE22 5AD,0,0,2
NE63 9FA,0,0,69
TD15 2RJ,1,1,19
NE61 6UH,0,0,34
NE61 4JB,1,2,18
NE63 9AN,1,1,15
NE22 5DB,0,0,18
NE47 6NW,0,0,3
NE23 3GZ,0,0,38
NE47 6BW,1,1,12
NE22 6JP,0,0,19
NE22 5HQ,0,0,19
NE22 6EA,0,0,15
NE48 1AX,3,5,0
NE62 5AP,0,0,35
NE62 5DU,1,1,47
NE22 7BU,0,0,26
NE22 6EW,1,1,20
NE63 0HG,0,0,25
NE63 0PG,0,0,26
NE63 0BJ,0,0,15
NE63 8LB,0,0,42
NE63 0JW,0,0,26
NE63 9EL,0,0,16
NE63 9FF,0,0,21
NE24 4DF,0,0,32
NE64 6HF,0,0,45
NE61 3PR,2,2,11
NE64 6RF,1,1,25
NE48 2DG,7,7,0
NE62 5UT,0,0,31
TD15 2GW,0,0,25
NE63 9JN,0,0,44
NE25 0FG,0,0,34
NE64 6HE,0,0,4
NE63 0LS,0,0,10
TD15 2PY,0,3,8
TD15 2PL,4,4,17
NE62 5JN,0,0,13
NE63 9PZ,0,0,8
NE24 1RY,0,0,27
NE61 5PA,0,0,10
NE61 1HW,1,1,35
NE48 1RU,2,2,1
NE61 3LG,0,0,3
NE63 9NG,0,0,35
NE47 9QQ,0,0,22
NE63 0YB,16,17,1
NE47 9HF,2,2,18
NE61 1NL,21,21,2
NE61 1BE,14,14,2
NE65 0AA,6,6,5
NE46 2ER,5,5,9
NE65 7RZ,14,14,0
TD15 2XQ,5,5,24
NE42 5HN,23,23,11
NE66 3PG,15,15,6
NE66 2JB,0,0,5
NE66 3NG,2,2,17
NE66 1AA,0,1,0
NE67 5DE,1,1,9
NE47 8DB,0,2,18
NE71 6DA,4,4,16
NE71 6JD,7,8,11
NE42 6DT,0,0,1
NE25 0FF,1,2,52
NE65 7QJ,1,1,15
NE65 8RJ,0,0,5
NE66 4XZ,0,0,5
NE22 5QJ,0,0,22
NE22 5BY,0,0,26
NE22 7JJ,0,0,77
NE48 2ES,0,0,25
NE63 8PH,0,0,28
NE62 5YH,0,0,12
NE22 5SG,0,0,15
NE63 0SF,4,5,16
NE22 6NA,0,0,38
NE62 5AW,0,0,9
NE43 7PG,0,0,28
NE22 5AH,0,0,69
NE22 5YE,0,0,15
NE22 7DR,7,7,5
NE68 7RR,5,5,6
NE22 5JA,0,0,8
NE63 8DU,0,1,34
NE63 8DP,0,0,16
NE62 5UH,0,0,14
NE63 8XX,0,0,47
NE63 8JD,0,0,28
NE23 7DQ,0,0,18
NE63 9RZ,0,0,37
NE43 7XD,4,4,10
NE63 9DW,0,0,50
NE63 8TQ,0,0,53
NE63 9FQ,0,0,16
NE22 6JW,0,0,37
NE64 6BL,0,0,17
NE62 5RS,0,0,35
NE20 9BT,7,9,3
NE63 0DW,0,0,13
NE48 1BS,1,2,5
NE66 1PR,20,20,12
NE63 9WE,0,0,35
NE22 5HN,1,1,22
NE66 2TX,7,7,19
NE22 6LD,0,0,31
NE66 1HB,5,5,5
NE62 5BU,0,0,14
NE63 9SJ,0,0,7
NE62 5YT,0,0,10
NE63 9EG,0,0,20
TD15 2GY,0,0,3
NE66 3XQ,1,1,2
NE63 0QQ,0,0,39
NE66 1AF,2,2,22
NE62 5TZ,1,1,9
NE61 6TT,0,0,61
TD15 2TA,2,3,19
NE63 8LX,0,0,14
NE63 0DD,0,0,22
NE63 9HT,0,0,10
NE46 1BT,0,0,14
NE66 1YS,0,0,3
NE63 8QB,0,0,17
NE63 8EQ,0,0,14
NE22 7JU,0,0,25
NE46 2NA,0,0,5
NE63 8JT,0,0,22
NE63 8JB,0,0,23
NE63 8BL,0,0,12
NE63 8BE,0,0,48
NE22 5HY,0,0,10
NE64 6TW,0,0,33
NE63 8PB,0,0,9
NE65 0YE,3,3,20
NE65 7BG,2,2,10
NE63 8HA,0,0,9
NE63 8NQ,1,1,1
NE63 0DR,0,0,6
NE64 6EG,6,6,2
NE65 0DT,7,7,5
NE64 6LG,2,2,21
NE13 6DB,8,8,41
NE63 0BW,0,0,54
NE62 5UY,0,0,62
NE22 7DS,0,0,1
NE61 6SE,0,0,6
NE23 3SR,0,0,25
NE61 1JU,0,0,4
NE61 6RT,0,0,14
NE63 8TL,0,0,75
NE61 4ER,0,0,10
NE22 5JL,0,0,12
NE63 0DP,0,0,12
NE22 5JD,0,0,10
NE62 5PQ,0,0,12
NE62 5QU,0,0,12
NE64 6JU,0,0,8
NE23 1WG,55,55,0
NE69 7AJ,10,10,6
NE63 9RN,0,0,11
NE66 4TN,3,3,9
NE66 3EU,1,1,7
NE62 5AT,0,0,13
TD12 4TS,0,0,22
NE64 6XQ,1,1,4
NE63 9RH,0,0,19
NE63 9SN,0,0,17
NE63 8DG,0,0,2
NE63 0SD,0,0,14
NE65 9JU,0,0,10
NE65 9LR,0,1,2
NE69 7BT,7,7,20
TD12 4RD,0,0,6
NE24 5BS,5,5,12
NE63 9JW,0,0,14
NE24 5NG,1,1,1
NE66 2XJ,0,1,2
NE48 3HL,1,2,22
NE61 2EP,0,0,73
NE22 5SN,0,0,23
NE22 7EG,0,0,34
NE63 9QN,0,0,10
NE63 0DB,0,0,12
NE22 6EG,1,1,4
NE66 1EH,4,4,3
NE63 9XS,2,4,2
NE46 4SB,0,0,5
NE70 7PS,0,0,12
NE62 5DR,0,0,8
NE68 7BB,2,2,23
NE49 9HA,23,24,0
NE65 7TB,5,5,5
NE62 5YA,0,0,11
NE61 6YD,0,0,13
NE63 0BU,0,0,50
CA8 7HB,3,3,4
NE62 5AY,0,0,16
NE63 9BG,2,2,28
NE23 7TW,0,0,6
NE47 7JJ,1,1,11
NE19 2PE,14,16,5
NE19 1TS,2,3,15
NE63 9QE,0,0,16
NE43 7EF,0,0,22
NE43 7QF,0,0,3
TD15 2QE,0,0,14
NE63 9GD,0,0,28
NE47 6DH,0,0,17
NE22 5LE,0,0,4
NE63 9DQ,0,0,6
NE62 5AU,0,0,23
NE65 7AR,0,1,1
NE63 0HZ,0,0,44
NE66 1HR,12,12,3
NE48 1AA,6,6,13
NE47 9QB,0,0,1
NE66 3BB,1,1,5
NE63 0TL,0,0,38
NE24 2TF,1,1,41
NE22 5SZ,0,0,23
NE22 6BJ,0,0,6
NE63 9NZ,0,0,28
NE63 8JX,0,0,63
NE23 3HR,0,0,25
NE25 0AQ,0,1,2
NE63 9TB,0,0,44
NE22 6JU,3,3,9
NE65 0BX,13,13,6
NE63 9BN,0,0,52
NE46 4PT,2,2,17
NE71 6AW,0,0,38
NE63 0TA,1,1,12
NE47 6AQ,0,0,7
NE47 6DA,0,0,3
NE47 7BU,0,0,3
NE48 3LT,1,2,10
NE63 9HH,0,0,18
NE69 7BA,14,14,16
NE48 3EB,0,0,2
NE63 9JT,0,0,31
NE63 8RZ,1,1,29
NE47 6LX,0,0,6
NE47 6NB,0,0,8
NE47 6NH,0,0,2
NE22 6DF,0,0,48
NE64 6BJ,0,0,39
NE63 8BT,0,0,0
NE62 5HW,0,0,20
NE63 0LG,0,0,4
NE43 7HX,0,0,2
NE22 7BT,0,0,1
NE43 7RQ,0,0,10
NE61 2FS,3,3,41
NE44 6AA,0,0,10
NE22 5NQ,0,0,18
NE44 6BW,0,0,2
NE44 6DZ,0,0,3
NE61 3EY,0,0,62
NE43 7NQ,0,0,4
NE47 6NE,0,0,4
NE22 7LP,0,0,24
NE63 9LZ,0,0,6
NE64 6NZ,0,0,8
NE68 7UT,2,2,10
NE67 5AG,2,2,31
NE65 8TG,0,0,10
NE63 9RB,0,0,11
NE45 5AA,23,24,24
NE63 9SZ,2,2,39
NE66 3UA,3,3,1
NE69 7BJ,9,9,8
NE70 7HT,1,1,1
NE64 6BA,1,1,14
NE62 5BQ,0,0,32
NE45 5PL,5,5,10
NE45 5PR,0,0,4
TD15 1TA,3,3,0
NE49 0QN,2,2,14
NE15 0HB,6,6,5
NE19 1NR,1,1,0
NE63 9JR,0,0,5
NE63 9UG,0,0,10
NE63 9SD,0,0,24
NE63 0NG,3,3,0
NE64 6AD,9,9,13
NE47 6BA,0,0,5
NE41 8AS,0,0,8
NE47 0BB,0,0,1
NE23 3ST,3,3,0
NE65 0DA,15,17,5
NE46 1XY,0,0,3
NE45 5RG,0,0,1
TD12 4QQ,2,2,2
NE47 7BP,1,1,11
NE24 2DF,1,1,0
NE63 9NQ,1,1,14
TD15 1UY,0,0,13
NE62 5JX,0,0,27
NE20 9QB,2,2,9
NE64 6BN,1,1,29
NE61 1TX,0,0,12
NE24 4RP,4,4,0
NE61 1JQ,0,0,47
NE65 9SB,0,0,5
NE65 9UR,0,0,5
NE61 1EE,0,0,2
NE63 0FB,2,2,0
NE61 6UU,0,0,2
NE47 6HJ,1,2,11
NE49 0LY,0,0,6
TD15 2PZ,0,1,9
NE64 6SQ,0,0,36
NE66 2LJ,0,0,3
NE65 0XQ,2,2,3
NE24 4ST,0,0,16
NE66 2RQ,2,2,7
NE45 5RR,0,0,3
NE24 5JW,4,5,18
TD12 4TP,3,3,12
NE24 4AD,0,0,13
NE61 2SY,0,0,17
NE22 6DE,0,0,13
NE61 2EX,0,0,8
NE48 2SZ,0,0,3
NE20 0DH,1,1,11
NE24 3AR,0,0,17
NE41 8BH,0,0,4
NE64 6DA,1,1,1
NE63 0AX,1,1,0
NE61 1QX,0,0,34
NE22 6LN,0,0,12
NE22 5UA,10,11,4
NE22 7AZ,0,0,7
NE22 7HF,0,0,30
NE20 0RB,0,0,2
NE62 5BT,0,0,27
NE46 1UN,0,0,10
TD15 2XU,2,2,0
NE61 3JS,0,0,7
NE61 1QP,0,0,41
NE61 1QR,0,0,6
NE61 1QN,0,0,15
NE66 3QN,1,1,33
NE66 4SX,0,0,5
NE24 4NL,0,0,10
NE63 9RJ,0,0,12
NE23 3HU,0,0,27
NE63 8AT,0,0,13
NE66 3HY,0,0,3
NE61 3QY,0,0,12
NE61 3SX,0,0,22
NE20 0SD,0,0,3
NE70 7ND,6,6,5
NE49 0QR,2,2,2
NE64 6UH,2,2,11
NE63 0TE,0,0,32
NE24 2AN,0,0,7
NE61 1JW,0,0,30
NE61 6RF,1,1,2
NE15 0BX,0,1,1
NE15 0HA,0,0,16
NE18 0AD,25,25,11
NE46 4TW,0,0,3
NE63 9YW,0,0,19
NE61 1XG,0,0,44
NE22 6HT,0,0,8
NE61 2SH,0,0,42
NE48 2JY,1,2,9
NE48 2AH,6,6,10
NE22 6JH,0,0,21
NE25 0AF,1,1,37
NE43 7HG,0,0,2
NE43 7NU,0,0,2
NE46 1UD,2,2,3
NE46 3AZ,0,0,12
NE46 3JH,1,1,16
TD15 2TY,0,0,9
NE47 5DL,0,0,20
NE47 5DX,2,2,19
NE46 3QQ,3,4,0
NE22 5JR,0,0,10
NE63 0SE,2,3,6
NE66 4SZ,0,0,3
NE66 4PJ,0,0,2
TD15 1EE,6,6,27
NE66 4LZ,0,0,6
NE61 6PF,0,0,2
NE61 6DU,0,0,8
NE61 2EZ,0,0,14
NE61 2SB,3,4,13
NE49 0NX,0,1,4
NE61 2XU,0,0,11
NE47 9HJ,2,2,9
NE61 1TF,0,0,24
NE63 9LG,0,0,12
NE49 0JN,0,0,5
NE65 9JY,6,6,37
NE68 7TN,8,8,11
TD12 4RA,0,0,4
NE61 2XA,0,0,55
NE22 5NB,0,0,11
NE66 4DZ,0,0,12
NE66 4YD,0,0,20
NE22 5YG,0,0,11
NE24 3SR,0,0,15
NE24 3JA,2,2,9
NE24 4JW,0,0,4
NE23 7QA,3,3,3
NE44 6EG,1,1,13
NE61 3JU,0,0,10
NE65 8DA,1,1,2
NE46 4DG,1,1,1
NE49 9JG,0,1,5
NE48 1HU,2,2,0
NE65 7TQ,2,2,3
NE63 0DJ,0,0,13
NE24 4HA,0,0,22
TD15 2AS,14,18,33
NE62 5RG,0,0,1
NE22 5LA,0,0,10
NE63 9RF,0,0,6
NE66 2TZ,0,1,17
NE64 6AE,1,1,1
NE47 6NR,0,0,0
NE24 5RZ,0,0,71
NE22 6BS,0,0,29
NE24 5AX,0,0,19
NE24 5AN,0,0,15
NE61 6EL,2,2,3
NE49 9DP,4,4,0
NE23 6BL,2,2,30
TD12 4SY,2,2,12
NE24 5QB,0,0,18
NE25 0AR,0,0,2
NE46 4DR,0,0,6
NE61 3RL,0,0,15
NE47 9NJ,0,0,1
NE62 5NR,1,1,0
NE61 4PB,1,1,6
NE66 3AJ,2,2,0
NE68 7YF,2,2,0
NE48 2TN,1,1,28
NE66 1EJ,0,1,6
NE47 7JF,0,0,4
NE61 2UW,0,0,26
NE47 5AQ,1,1,1
NE65 8RF,0,0,5
NE62 5DG,0,0,4
NE47 8AW,0,0,7
NE18 0LN,0,0,7
NE61 3RT,0,0,5
NE24 4BZ,1,1,21
NE61 3DT,0,0,7
NE63 9QB,0,0,24
NE63 9PN,0,0,6
NE22 6AJ,0,0,3
NE49 0LG,2,3,6
NE24 3AS,0,0,6
NE15 0DT,1,1,7
TD15 1DP,0,0,4
NE49 0AZ,11,11,12
NE45 5LN,0,0,5
NE47 9EX,0,0,1
NE61 2ET,1,1,43
NE46 1LZ,13,13,0
NE61 2LQ,0,0,16
NE22 5QH,1,3,10
NE22 5TF,0,0,7
NE24 5EP,0,0,15
NE66 3AG,2,2,17
NE66 2SE,3,3,7
NE65 9HJ,0,0,30
NE19 1HW,0,0,3
NE48 2AT,1,1,3
NE47 7JB,0,0,1
NE63 8PA,3,3,1
NE24 3TT,0,0,4
NE47 5NR,1,1,3
NE24 5RQ,0,0,20
NE20 0JP,3,3,3
NE24 2RZ,0,0,28
NE48 1BH,3,3,2
NE48 1EL,3,3,2
NE23 6ST,0,0,23
NE24 1HL,0,0,37
NE61 6LT,0,0,15
NE46 4DP,0,0,2
NE24 5DS,0,0,20
NE24 5RS,0,0,48
NE47 9SB,1,1,4
NE66 3LE,2,2,6
NE24 2QJ,0,0,52
NE24 1JN,1,1,34
NE62 5XS,0,0,4
NE24 4DX,0,0,11
NE24 2HH,0,0,28
NE24 4SB,0,0,21
NE61 2XB,0,0,9
NE23 2EF,0,0,10
NE24 3EG,0,0,19
NE24 3UB,0,0,28
NE61 3BA,1,1,6
NE24 5NB,0,0,8
NE24 2LP,0,0,19
NE13 6DF,1,1,0
NE24 5DT,0,0,15
NE24 5DX,0,0,10
NE23 2QQ,0,0,23
NE46 1EW,0,0,3
NE23 2SH,0,0,13
NE24 5HE,0,0,29
NE23 6SE,0,0,16
TD15 2QH,1,1,1
NE66 2PF,34,35,0
NE63 8UB,33,33,0
NE42 5LW,0,0,48
NE24 5AJ,0,0,16
NE24 4JJ,0,0,7
NE61 3FR,1,1,0
NE61 5HL,6,6,10
NE24 3TH,0,0,20
NE22 7LZ,0,0,8
NE22 5AE,10,10,2
NE47 7BT,0,0,3
NE66 1JQ,4,4,1
NE46 1BU,5,5,0
NE25 0RH,0,0,33
NE24 4PU,0,0,9
NE24 4NN,0,0,24
NE49 0LQ,0,0,1
NE47 6HL,0,0,4
TD15 1LP,1,1,13
NE70 7HX,0,1,3
NE24 5DY,0,0,18
NE69 7AX,7,7,28
NE47 6EU,0,0,4
NE24 3LG,0,0,28
NE63 0YE,21,21,0
NE66 2EJ,0,0,2
NE47 9QH,0,1,14
NE23 1DL,0,0,21
NE47 9AF,1,1,1
NE24 2UQ,0,0,9
NE65 7BU,0,0,2
NE47 7HG,0,0,1
NE65 9HP,0,0,6
NE24 3RW,0,0,22
NE70 7LE,5,5,3
NE47 7EL,2,2,1
NE45 5EU,0,1,35
NE48 4AX,0,0,15
NE43 7BJ,0,0,26
NE24 1JD,0,0,6
NE24 4AE,0,0,14
TD15 2SX,0,0,4
NE24 2LB,0,0,6
NE24 4BD,0,0,20
NE46 4JR,6,6,5
NE46 3NB,3,3,0
NE24 3HN,0,0,29
NE46 4EH,0,0,6
NE47 9LT,1,3,8
NE24 2PW,1,1,4
NE24 2PR,0,0,15
NE24 5RJ,0,0,30
DH8 9RS,0,0,4
NE47 0AE,0,0,5
NE24 1DU,0,0,7
NE24 3SA,0,0,8
NE24 4JG,0,0,7
NE48 4AL,1,1,2
NE48 2RJ,0,0,2
NE48 2TT,0,0,1
NE24 1PJ,0,0,41
NE48 1EW,0,0,4
NE66 1UZ,4,4,27
TD12 4SG,1,1,14
NE46 3AT,0,0,6
NE46 4SL,1,1,1
NE47 9UH,0,0,5
NE47 9UD,1,1,8
NE47 7ED,0,0,6
NE24 5PD,0,0,43
NE42 6DR,0,0,3
NE47 9AA,0,0,11
NE47 9BJ,2,2,8
NE47 8HE,0,0,2
NE24 1EA,0,0,2
NE66 2BX,0,0,2
TD12 4UT,1,2,5
NE68 7PA,16,16,54
NE46 1HG,0,0,7
NE24 4BA,0,0,20
TD15 1UN,14,16,0
NE68 7TE,5,5,8
NE15 0LZ,1,1,0
NE24 3PB,43,43,0
NE63 8RH,3,3,0
